filename,fine_grained_class_index,subclass_name,coarse_grained_class_index,superclass_name
img_0,49,mountain,10,large_natural_outdoor_scenes
img_1,33,forest,10,large_natural_outdoor_scenes
img_2,72,seal,0,aquatic_mammals
img_3,51,mushroom,4,fruit_and_vegetables
img_4,71,sea,10,large_natural_outdoor_scenes
img_5,92,tulip,2,flowers
img_6,15,camel,11,large_omnivores_and_herbivores
img_7,14,butterfly,7,insects
img_8,23,cloud,10,large_natural_outdoor_scenes
img_9,0,apple,4,fruit_and_vegetables
img_10,71,sea,10,large_natural_outdoor_scenes
img_11,75,skunk,12,medium_mammals
img_12,81,streetcar,19,vehicles_2
img_13,69,rocket,19,vehicles_2
img_14,40,lamp,5,household_electrical_devices
img_15,43,lion,8,large_carnivores
img_16,92,tulip,2,flowers
img_17,97,wolf,8,large_carnivores
img_18,70,rose,2,flowers
img_19,53,orange,4,fruit_and_vegetables
img_20,70,rose,2,flowers
img_21,49,mountain,10,large_natural_outdoor_scenes
img_22,75,skunk,12,medium_mammals
img_23,29,dinosaur,15,reptiles
img_24,21,chimpanzee,11,large_omnivores_and_herbivores
img_25,16,can,3,food_containers
img_26,39,keyboard,5,household_electrical_devices
img_27,8,bicycle,18,vehicles_1
img_28,8,bicycle,18,vehicles_1
img_29,70,rose,2,flowers
img_30,20,chair,6,household_furniture
img_31,61,plate,3,food_containers
img_32,41,lawn_mower,19,vehicles_2
img_33,93,turtle,15,reptiles
img_34,56,palm_tree,17,trees
img_35,73,shark,1,fish
img_36,58,pickup_truck,18,vehicles_1
img_37,11,boy,14,people
img_38,25,couch,6,household_furniture
img_39,37,house,9,large_man-made_outdoor_things
img_40,63,porcupine,12,medium_mammals
img_41,24,cockroach,7,insects
img_42,49,mountain,10,large_natural_outdoor_scenes
img_43,73,shark,1,fish
img_44,56,palm_tree,17,trees
img_45,22,clock,5,household_electrical_devices
img_46,41,lawn_mower,19,vehicles_2
img_47,58,pickup_truck,18,vehicles_1
img_48,75,skunk,12,medium_mammals
img_49,17,castle,9,large_man-made_outdoor_things
img_50,4,beaver,0,aquatic_mammals
img_51,6,bee,7,insects
